book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1877_ewing-a-great-emergency-and-other-tales,28,"['bishop', 'john', 'dandy', 'bobby', 'charlie', 'james', 'bob', 'dick', 'granny', 'richard', 'major', 'aladdin', 'albion', 'rupert', 'tom', 'master philip', 'mr bustard', 'thomas johnson', 'johnson minor', 'fred johnson', 'mr rampant', 'twelve travellers', 'samuel rowe', 'mr clinton', 'master charles', 'mr smith', 'south devon', 'master fred']",22,"['mary', 'henny', 'jemima', 'darling', 'betsy', 'alice', 'podmore', 'nurse', 'jane', 'madam', 'thy', 'madam liberality', 'my aunt isobel', 'miss henrietta', 'baby cecil', 'aunt isobel', 'tidal basin', 'lucy lambent', 'nine elms', 'te deum', 'mrs johnson', 'linnet flash']",3,"['perronet', 'huckaback', 'pyebridge']",female

1877_meade-davids-little-lad,15,"['david', 'tum', 'squire', 'gyp', 'james', 'miles', 'davy', 'creator', 'owen morgan', 'sims reeves', 'owen owen', 'squire morgan', 'moses thomas', 'miles thomas', 'black bill']",11,"['amy', 'gwen', 'maggie', 'stephie', 'nancy', 'ellen', 'gwladys', 'gwladys morgan', 'esther williams', 'mrs jones', 'little nan']",4,"['tintern', 'gwenllynn', 'tynycymmer', 'ffynon']",female

1877_molesworth-the-cuckoo-clock,4,"['dermot', 'master phil', 'mr crouch', 'mr kneebreeches']",4,"['eileen', 'griselda', 'dorcas', 'aunt grizzel']",1,['mswyne'],female

1877_sewell-black-beauty,50,"['max', 'john', 'norman', 'alfred', 'joe', 'reuben', 'bill', 'james', 'hotspur', 'harry', 'skinner', 'blantyre', 'jerry', 'smith', 'dick', 'samson', 'jones', 'jakes', 'ned', 'robert', 'blackbird', 'rory', 'larry', 'tom', 'jack', 'willie', 'highwood', 'grant', 'mr clay', 'mr briggs', 'sir clifford', 'mr york', 'farmer grey', 'lord george', 'james howard', 'sir oliver', 'alfred smirk', 'governor gray', 'joe green', 'jerry barker', 'squire gordon', 'mr thoroughgood', 'seedy sam', 'jeremiah barker', 'mr blomefield', 'black auster', 'john manly', 'mr barry', 'rob roy', 'black beauty']",15,"['mary', 'polly', 'ladybird', 'lizzie', 'peggy', 'dinah', 'darkie', 'dolly', 'nelly', 'ginger', 'miss ellen', 'lady anne', 'miss flora', 'miss jessie', 'miss blomefield']",3,"['filcher', 'birtwick', 'merrylegs']",female

1878_molesworth-grandmother-dear-a-book-for-boys-and-girls,15,"['hunter', 'grange', 'giles', 'kadikoi', 'ralph', 'fusser', 'henry', 'east hornham', 'uncle jack', 'jack berkeley', 'uncle carlo', 'mr sawyer', 'mr turner', 'captain montagu', 'mr walter']",7,"['mary', 'sylvia', 'laura', 'molly', 'notre dame', 'salle henri ii', 'miss berkeley']",2,"['alderwood', 'ryeburn']",female

